reference_key	object_class	image_url	bbox_1000
rosettes_arch_castle_registered	architecture_cartography	https://collections.library.yale.edu/iiif/2/1006231/full/3000,/0/default.jpg	[716,59,945,354]
rosettes_geom_center_verified	diagram_geometry	https://collections.library.yale.edu/iiif/2/1006231/full/2400,/0/default.jpg	[350,350,700,690]
bc30119a-a585-4d49-9bb7-4fc27edda651	plant	https://ymaqlcfjmdwncdbjprmw.supabase.co/storage/v1/object/public/manuscripts/vms_catalogue/6r/cutout.png	FULL
7addcb8d-1077-4f24-a6a2-0157d48398b0	plant	https://ymaqlcfjmdwncdbjprmw.supabase.co/storage/v1/object/public/manuscripts/vms_catalogue/17v/cutout.png	FULL
4a3fbad6-5f32-4b72-bbea-82fa1e91916e	plant	https://ymaqlcfjmdwncdbjprmw.supabase.co/storage/v1/object/public/manuscripts/vms_catalogue/33r/cutout.png	FULL
1c0321e3-e230-4aa8-988b-2248554425f3	plant	https://ymaqlcfjmdwncdbjprmw.supabase.co/storage/v1/object/public/manuscripts/vms_catalogue/36v/cutout.png	FULL
27c40637-1d5b-4cf9-b3e0-53287771583d	plant	https://ymaqlcfjmdwncdbjprmw.supabase.co/storage/v1/object/public/manuscripts/vms_catalogue/40r/cutout.png	FULL
94a754bd-2614-4bd4-b329-d5bd714c6689	plant	https://ymaqlcfjmdwncdbjprmw.supabase.co/storage/v1/object/public/manuscripts/vms_catalogue/42v/cutout.png	FULL
62c559aa-e09d-4d5f-8c8d-e774fe8444f1	plant	https://ymaqlcfjmdwncdbjprmw.supabase.co/storage/v1/object/public/manuscripts/vms_catalogue/48r/cutout.png	FULL
1ac3ad8d-57b0-4c3d-a1f6-5723950d75d2	plant	https://ymaqlcfjmdwncdbjprmw.supabase.co/storage/v1/object/public/manuscripts/vms_catalogue/57r/cutout.png	FULL
